Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
59	:	1772302677.181	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.6 ./512/r500/m04_06 
60	:	1772302677.184	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.7 ./512/r500/m04_07 
61	:	1772302677.187	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.8 ./512/r500/m04_08 
62	:	1772302677.191	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.9 ./512/r500/m04_09 
63	:	1772302677.194	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.6 ./512/r500/m05_06 
64	:	1772302677.197	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.7 ./512/r500/m05_07 
65	:	1772302677.200	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.8 ./512/r500/m05_08 
66	:	1772302677.203	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.5 0.9 ./512/r500/m05_09 
67	:	1772302677.207	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.6 0.7 ./512/r500/m06_07 
68	:	1772302677.210	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.6 0.8 ./512/r500/m06_08 
69	:	1772302677.213	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.6 0.9 ./512/r500/m06_09 
70	:	1772302677.216	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.7 0.8 ./512/r500/m07_08 
